save_path,seed,cv_folds,task,parameters,best_params,valid_score,train_score,train_r2,test_score,test_r2,outcome,alg
../regressors\rf\37map_1001scenarios_competition_profit_26_model.csv,42,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['sqrt'], 'max_depth': [2, 3, 4]}","{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 25}",-14.626363567840809,10.749473549860145,0.7320527026578323,17.6942718935971,0.5954016142479783,profit_26,rf
../regressors\svm\37map_1001scenarios_competition_profit_26_model.csv,42,5,continuous,"{'C': [0.1, 1, 10, 100]}",{'C': 10},-17.49615672941062,17.105989849093334,0.5736066769068197,19.775157382040202,0.5478199497058196,profit_26,svm
../regressors\cart\37map_1001scenarios_competition_profit_26_model.csv,42,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 8, 'max_features': 1.0, 'min_samples_leaf': 0.02}",-14.454554790602904,8.109529716676985,0.797857396437069,14.45585837877109,0.6694513908296453,profit_26,cart
../regressors\gbm\37map_1001scenarios_competition_profit_26_model.csv,42,5,continuous,"{'learning_rate': [0.01, 0.025, 0.05, 0.075, 0.1, 0.15, 0.2], 'max_depth': [2, 3, 4, 5], 'n_estimators': [20]}","{'learning_rate': 0.15, 'max_depth': 5, 'n_estimators': 20}",-9.639647964727555,2.1972989922239385,0.9452289152870437,11.249780989103208,0.7427617674450899,profit_26,gbm
../regressors\mlp\37map_1001scenarios_competition_profit_26_model.csv,42,5,continuous,"{'hidden_layer_sizes': [(10,), (20,), (50,), (100,)]}","{'hidden_layer_sizes': (100,)}",-7.936428878301338,4.563818436616583,0.88623974839515,7.571387561370529,0.8268721536746606,profit_26,mlp
../regressors\linear\37map_1001scenarios_competition_profit_37_model.csv,42,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 0.1, 'l1_ratio': np.float64(0.9)}",-13.073813386269748,13.03410388497496,0.40826501802676596,12.133062029256921,0.37003962566580517,profit_37,linear
../regressors\rf\37map_1001scenarios_competition_profit_37_model.csv,42,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['sqrt'], 'max_depth': [2, 3, 4]}","{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 25}",-8.763886034371936,7.289153411937283,0.6690798921907526,8.92194322593092,0.5367640352581222,profit_37,rf
../regressors\svm\37map_1001scenarios_competition_profit_37_model.csv,42,5,continuous,"{'C': [0.1, 1, 10, 100]}",{'C': 10},-10.36523108525761,10.265089807635125,0.533975424326897,10.737760416577721,0.44248504167974834,profit_37,svm
../regressors\cart\37map_1001scenarios_competition_profit_37_model.csv,42,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 9, 'max_features': 1.0, 'min_samples_leaf': 0.02}",-8.541982223664297,5.139791041110434,0.7666587449434377,9.719990744004965,0.49532863238866287,profit_37,cart
../regressors\gbm\37map_1001scenarios_competition_profit_37_model.csv,42,5,continuous,"{'learning_rate': [0.01, 0.025, 0.05, 0.075, 0.1, 0.15, 0.2], 'max_depth': [2, 3, 4, 5], 'n_estimators': [20]}","{'learning_rate': 0.2, 'max_depth': 4, 'n_estimators': 20}",-6.366443067573063,2.96133464182613,0.8655584368237476,7.045542789019999,0.6341885698716359,profit_37,gbm
../regressors\mlp\37map_1001scenarios_competition_profit_37_model.csv,42,5,continuous,"{'hidden_layer_sizes': [(10,), (20,), (50,), (100,)]}","{'hidden_layer_sizes': (100,)}",-5.168781373393374,3.7002157617277955,0.8320139898848689,5.130655906717597,0.7336113581400925,profit_37,mlp
