save_path,seed,cv_folds,task,parameters,best_params,valid_score,train_score,train_r2,test_score,test_r2,outcome,alg
../regressors\linear\37map_1001scenarios_profit_model.csv,42,5,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 0.1, 'l1_ratio': np.float64(0.9)}",-14.70024418208418,14.558499876582806,0.5720238272500451,16.442432922463595,0.5741260683711102,profit,linear
../regressors\rf\37map_1001scenarios_profit_model.csv,42,5,continuous,"{'n_estimators': [10, 25], 'max_features': ['sqrt'], 'max_depth': [2, 3, 4]}","{'max_depth': 4, 'max_features': 'sqrt', 'n_estimators': 25}",-9.777570746827056,8.311336685905685,0.7556716629168851,11.738468320282253,0.6959630196800128,profit,rf
../regressors\svm\37map_1001scenarios_profit_model.csv,42,5,continuous,"{'C': [0.1, 1, 10, 100]}",{'C': 100},-10.648761744769207,10.47828599105066,0.691969861356215,10.672310365535786,0.7235774780795952,profit,svm
../regressors\cart\37map_1001scenarios_profit_model.csv,42,5,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 10, 'max_features': 1.0, 'min_samples_leaf': 0.02}",-7.744409024606982,4.48343176066001,0.8682005713515006,8.805886038925717,0.7719195616270547,profit,cart
../regressors\gbm\37map_1001scenarios_profit_model.csv,42,5,continuous,"{'learning_rate': [0.01, 0.025, 0.05, 0.075, 0.1, 0.15, 0.2], 'max_depth': [2, 3, 4, 5], 'n_estimators': [20]}","{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 20}",-4.238088606041238,1.1262997508652022,0.9668901699467088,5.4454768657867625,0.8589572082572741,profit,gbm
../regressors\mlp\37map_1001scenarios_profit_model.csv,42,5,continuous,"{'hidden_layer_sizes': [(10,), (20,), (50,), (100,)]}","{'hidden_layer_sizes': (50,)}",-4.012115271012688,3.0686146742781175,0.909791944563305,3.899124096265827,0.8990091480612306,profit,mlp
