rc_11,rc_14,rc_15,rc_26,rc_37,profit_11,profit_14,profit_15,profit_26,profit_37
0.6,0.6,0.5,0.6,0.5,0.0,6.530191534995553,13.727748669593861,0.0,9.948502531171913
0.425,0.77,0.639,0.559,0.294,13.110039619566892,0.0,3.791411673739849,0.0,8.05733714115403
0.294,0.235,0.72,0.561,0.625,0.9606626317800542,11.19934923754123,0.0,0.0,4.832682171488392
0.212,0.782,0.699,0.327,0.309,6.7445767464294955,0.0,0.8790082478615036,2.288881314004307,7.731194262016508
0.31,0.383,0.515,0.459,0.375,4.565743548149364,7.453563097688455,0.0,0.0,10.37629416977367
0.567,0.284,0.375,0.42,0.474,0.0,13.755679426448848,0.9631759827484144,0.0,3.6369674594281376
0.671,0.32,0.509,0.555,0.228,0.0,6.788360852201513,0.0,0.0,9.165521685547423
0.565,0.302,0.239,0.769,0.779,0.0,10.810622689455517,3.1153953111973633,0.0,6.006662300522328
0.685,0.383,0.259,0.611,0.464,0.0,7.751805602367437,6.870885226194599,0.0,4.711663884854054
0.273,0.497,0.221,0.746,0.355,2.22338927668895,0.7535322299999999,8.72216725079571,0.0,4.988534827480366
0.598,0.387,0.512,0.528,0.311,0.0,11.460297427905733,1.3317629975816294,0.0,8.521569434102107
0.782,0.665,0.764,0.737,0.559,0.0,14.514328639099979,6.564616225390053,0.0,15.661077033872564
0.753,0.253,0.318,0.227,0.395,0.0,4.770483583222639,2.027869376919723,7.301234102867539,0.0
0.433,0.363,0.697,0.414,0.369,1.4427234709831118,17.877109731015956,0.0,0.0,2.8055102093195883
0.526,0.285,0.681,0.245,0.792,0.0,3.8632814356025804,0.0,11.822315493744203,0.0
0.663,0.319,0.203,0.689,0.624,0.0,8.04946344380777,5.297005619996361,0.0,4.611607536736166
0.637,0.663,0.244,0.415,0.27,0.0,0.0,9.187669393103743,0.0,6.644936896090489
0.718,0.574,0.399,0.238,0.387,0.0,2.2233984707398045,1.5476575385737603,11.485508764279947,2.173154073408193
0.395,0.638,0.583,0.732,0.483,7.542228677806246,2.4073457916216756,3.449383081069302,0.0,17.46267743988893
0.272,0.628,0.656,0.537,0.663,4.3185970718566935,4.804428067020156,2.2669344682519523,17.990887341998903,0.0
0.496,0.514,0.457,0.215,0.265,0.0,1.9830927253231603,0.5662502195690141,10.312339690218375,2.5617532980312543
0.219,0.582,0.389,0.505,0.745,7.156569793800221,4.306930186558901,5.346455604341759,6.223385161646507,0.0
0.35,0.446,0.653,0.337,0.246,5.190706704305063,4.122963416370692,0.8195583747157072,2.3617452757016637,6.630922716124035
0.374,0.297,0.758,0.685,0.58,1.238107719090716,14.433889476568787,0.0,0.0,4.579373335588903
0.723,0.682,0.312,0.736,0.524,0.0,1.1035803899999999,12.111661178105,0.0,14.130493388809688
0.684,0.738,0.391,0.266,0.337,0.0,2.8802341748780336,2.6811389021238763,12.959873447231729,1.8793373062415815
0.456,0.691,0.716,0.204,0.506,0.0,5.300809619398455,5.3566333915239515,9.741449896367591,0.0
0.45,0.333,0.272,0.403,0.766,0.0,6.685894758964837,7.240757528120626,4.802574473430678,0.0
0.394,0.511,0.622,0.418,0.783,0.0,3.882576612599882,2.4551035176750817,20.75216497266095,0.0
0.777,0.351,0.498,0.381,0.371,0.0,17.0844234150555,1.2940971712486302,0.0,3.3301563793460702
