save_path,seed,cv_folds,task,parameters,best_params,valid_score,train_score,train_r2,test_score,test_r2,outcome,alg
../regressors\linear\profit_dummy_profit_model.csv,42,2,continuous,"{'alpha': [0.1, 1, 10, 100, 1000], 'l1_ratio': array([0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9])}","{'alpha': 0.1, 'l1_ratio': np.float64(0.1)}",-27.53787566595831,3.9444689077566806,0.4270481927358336,3.9444689077566806,0.4270481927358336,profit,linear
../regressors\rf\profit_dummy_profit_model.csv,42,2,continuous,"{'n_estimators': [10, 25], 'max_features': ['sqrt'], 'max_depth': [2, 3, 4]}","{'max_depth': 2, 'max_features': 'sqrt', 'n_estimators': 10}",-27.537875665958346,1.3768937832979136,0.8000000000000003,1.3768937832979136,0.8000000000000003,profit,rf
../regressors\svm\profit_dummy_profit_model.csv,42,2,continuous,"{'C': [0.1, 1, 10, 100]}",{'C': 100},-27.377936254860558,0.03973323493727604,0.994228569346561,0.03973323493727604,0.994228569346561,profit,svm
../regressors\cart\profit_dummy_profit_model.csv,42,2,continuous,"{'max_depth': [3, 4, 5, 6, 7, 8, 9, 10], 'min_samples_leaf': [0.02, 0.04, 0.06], 'max_features': [0.4, 0.6, 0.8, 1.0]}","{'max_depth': 3, 'max_features': 0.4, 'min_samples_leaf': 0.02}",-27.53787566595831,0.0,1.0,0.0,1.0,profit,cart
../regressors\gbm\profit_dummy_profit_model.csv,42,2,continuous,"{'learning_rate': [0.01, 0.025, 0.05, 0.075, 0.1, 0.15, 0.2], 'max_depth': [2, 3, 4, 5], 'n_estimators': [20]}","{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 20}",-27.53787566595831,4.6055152778823105,0.33102824143032317,4.6055152778823105,0.33102824143032317,profit,gbm
../regressors\mlp\profit_dummy_profit_model.csv,42,2,continuous,"{'hidden_layer_sizes': [(10,), (20,), (50,), (100,)]}","{'hidden_layer_sizes': (20,)}",-24.69869424780751,7.081855579889143e-08,0.999999989713287,7.081855579889143e-08,0.999999989713287,profit,mlp
