ID,rc_11,rc_14,rc_15,rc_26,rc_37,threshold,prediction
1,0.0,1.0,0.0,0.0,0.0,0.3684999942779541,13.714320257824951
1,0.0,1.0,0.0,0.0,0.0,0.2744999974966049,13.714320257824951
1,0.0,0.0,0.0,0.0,1.0,0.353999987244606,13.714320257824951
1,0.0,1.0,0.0,0.0,0.0,0.2355000004172325,13.714320257824951
2,0.0,1.0,0.0,0.0,0.0,0.3684999942779541,15.280485529318424
2,0.0,1.0,0.0,0.0,0.0,0.2744999974966049,15.280485529318424
2,0.0,0.0,0.0,0.0,1.0,0.353999987244606,15.280485529318424
2,0.0,-1.0,0.0,0.0,0.0,-0.23550100041723251,15.280485529318424
3,0.0,1.0,0.0,0.0,0.0,0.3684999942779541,15.215471084694364
3,0.0,1.0,0.0,0.0,0.0,0.2744999974966049,15.215471084694364
3,0.0,0.0,0.0,0.0,-1.0,-0.354000987244606,15.215471084694364
3,0.0,0.0,0.0,1.0,0.0,0.32500000298023224,15.215471084694364
4,0.0,1.0,0.0,0.0,0.0,0.3684999942779541,16.532950796434765
4,0.0,1.0,0.0,0.0,0.0,0.2744999974966049,16.532950796434765
4,0.0,0.0,0.0,0.0,-1.0,-0.354000987244606,16.532950796434765
4,0.0,0.0,0.0,-1.0,0.0,-0.3250010029802322,16.532950796434765
4,0.0,1.0,0.0,0.0,0.0,0.22599999606609344,16.532950796434765
5,0.0,1.0,0.0,0.0,0.0,0.3684999942779541,17.587273318767473
5,0.0,1.0,0.0,0.0,0.0,0.2744999974966049,17.587273318767473
5,0.0,0.0,0.0,0.0,-1.0,-0.354000987244606,17.587273318767473
5,0.0,0.0,0.0,-1.0,0.0,-0.3250010029802322,17.587273318767473
5,0.0,-1.0,0.0,0.0,0.0,-0.22600099606609345,17.587273318767473
5,1.0,0.0,0.0,0.0,0.0,0.45000000298023224,17.587273318767473
6,0.0,1.0,0.0,0.0,0.0,0.3684999942779541,19.292116050764363
6,0.0,1.0,0.0,0.0,0.0,0.2744999974966049,19.292116050764363
6,0.0,0.0,0.0,0.0,-1.0,-0.354000987244606,19.292116050764363
6,0.0,0.0,0.0,-1.0,0.0,-0.3250010029802322,19.292116050764363
6,0.0,-1.0,0.0,0.0,0.0,-0.22600099606609345,19.292116050764363
6,-1.0,0.0,0.0,0.0,0.0,-0.4500010029802322,19.292116050764363
7,0.0,1.0,0.0,0.0,0.0,0.3684999942779541,16.76207860336315
7,0.0,-1.0,0.0,0.0,0.0,-0.2745009974966049,16.76207860336315
7,0.0,0.0,0.0,0.0,1.0,0.33400000631809235,16.76207860336315
8,0.0,1.0,0.0,0.0,0.0,0.3684999942779541,17.56746328123849
8,0.0,-1.0,0.0,0.0,0.0,-0.2745009974966049,17.56746328123849
8,0.0,0.0,0.0,0.0,-1.0,-0.3340010063180923,17.56746328123849
8,0.0,0.0,0.0,1.0,0.0,0.32250000536441803,17.56746328123849
9,0.0,1.0,0.0,0.0,0.0,0.3684999942779541,18.543905424058313
9,0.0,-1.0,0.0,0.0,0.0,-0.2745009974966049,18.543905424058313
9,0.0,0.0,0.0,0.0,-1.0,-0.3340010063180923,18.543905424058313
9,0.0,0.0,0.0,-1.0,0.0,-0.322501005364418,18.543905424058313
9,0.0,1.0,0.0,0.0,0.0,0.3375000059604645,18.543905424058313
9,0.0,0.0,1.0,0.0,0.0,0.33249999582767487,18.543905424058313
10,0.0,1.0,0.0,0.0,0.0,0.3684999942779541,19.813698474258178
10,0.0,-1.0,0.0,0.0,0.0,-0.2745009974966049,19.813698474258178
10,0.0,0.0,0.0,0.0,-1.0,-0.3340010063180923,19.813698474258178
10,0.0,0.0,0.0,-1.0,0.0,-0.322501005364418,19.813698474258178
10,0.0,1.0,0.0,0.0,0.0,0.3375000059604645,19.813698474258178
10,0.0,0.0,-1.0,0.0,0.0,-0.33250099582767484,19.813698474258178
10,0.0,1.0,0.0,0.0,0.0,0.3044999986886978,19.813698474258178
11,0.0,1.0,0.0,0.0,0.0,0.3684999942779541,21.664921992384873
11,0.0,-1.0,0.0,0.0,0.0,-0.2745009974966049,21.664921992384873
