intercept,layer,node,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19
-0.4591037613711622,0,0,-0.027278664815305224,0.024320106124058667,-0.08217999420743517,-0.02420482845310335,0.07894935461672398,,,,,,,,,,,,,,,
0.9197168670557581,0,1,0.7087338444741693,-0.3497453685742017,-0.22036449804086972,0.21840865098455564,0.6895888696373007,,,,,,,,,,,,,,,
-0.1818932480650336,0,2,0.05044230011843769,-0.045193861256163134,-0.10123761755494183,0.07147719449205933,-0.03676773848008108,,,,,,,,,,,,,,,
-0.33736971494322354,0,3,0.06295399663969148,0.04613634287190279,0.15139887823923254,0.023442277746716842,-0.06618510666041777,,,,,,,,,,,,,,,
0.427474832415413,0,4,-0.05354849095257823,0.01919835120598848,-0.028547988072365044,-0.023472401205776545,-0.024704528335731845,,,,,,,,,,,,,,,
-0.2456424452543465,0,5,-0.07479689991078352,0.062005633939661284,0.03533712035665773,0.00928338310691014,-0.03801028279346365,,,,,,,,,,,,,,,
-0.08780644432097423,0,6,-0.09608560849568945,-0.06529974487549238,-0.04093954495687581,-0.07807362496226788,0.04992313018044488,,,,,,,,,,,,,,,
2.210654329531135,0,7,1.754886989790387,-0.5314094811068681,-0.42397663232216776,0.8826870066122555,1.8113430283774465,,,,,,,,,,,,,,,
-0.2657224447409007,0,8,0.021985374827249486,0.02009364288168498,0.010156187315692029,-0.09250519194958805,0.0841914285381572,,,,,,,,,,,,,,,
-0.41447334874623465,0,9,0.04524109264598375,-0.09861500787763142,-0.06852190197385445,0.105863527246531,-0.006041291737070906,,,,,,,,,,,,,,,
-0.27923238758702457,0,10,-0.09544895108448474,0.03930894514148689,0.11531762193785107,0.07075553691817703,-0.07663073073160712,,,,,,,,,,,,,,,
-0.33193399277784197,0,11,0.10217221022790719,-0.07163773721436846,0.05982196061618438,-0.06550806410031178,0.046365682974182365,,,,,,,,,,,,,,,
-0.32489162878478645,0,12,0.18194039813538057,0.047929641467070794,0.21405630057463082,0.014899836058440618,0.14235604166516572,,,,,,,,,,,,,,,
-0.12892593681219303,0,13,-0.08017845502256285,0.09942876483563451,0.08721986501413814,0.058516585340640956,-0.004764122846810976,,,,,,,,,,,,,,,
2.2463009566773917,0,14,1.260542193783093,-0.23788176681200945,-0.24841758125279276,0.726509947644444,1.4580589627944438,,,,,,,,,,,,,,,
-0.07919415646390636,0,15,-0.0720411224326702,0.07452471688669353,0.09787041019097921,0.05073478347583546,-0.005880495791381345,,,,,,,,,,,,,,,
0.40152338160647716,0,16,0.09866500993568995,-0.09587619946938952,-0.13246407388383574,0.12461833414709571,0.15657452359141907,,,,,,,,,,,,,,,
-0.3070973703359163,0,17,0.005382775707529032,-0.08747790486093163,-0.06610225928870193,-0.0926152094529518,-0.01575471182591474,,,,,,,,,,,,,,,
0.4047680131653603,0,18,-0.011764671672438574,0.0546004896871883,-0.08685090638301633,-0.023270547720156267,-0.10266811782792191,,,,,,,,,,,,,,,
0.03854736721219232,0,19,-0.045392919678884196,-0.013012606486943563,-0.03797831877877962,-0.08352135420127668,-0.08525592594428696,,,,,,,,,,,,,,,
2.9118518017242714,1,0,0.0729355370688948,1.5762093686628182,-0.043175928965543106,-0.09268514692377293,-0.10335486471491699,-0.01729257709205417,0.07544420389629325,3.274698158596344,-0.11696816620973365,0.0025496353439538053,-0.021709056110985454,-0.06592572814308781,-0.28033334302226487,-0.5328984411893165,2.86471663999134,-0.44545815359760466,0.29179947237002907,0.04816318413391187,0.0014324493766090325,0.11192317922572222
