intercept,layer,node,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,node_23,node_24,node_25,node_26,node_27,node_28,node_29,node_30,node_31,node_32,node_33,node_34,node_35,node_36,node_37,node_38,node_39,node_40,node_41,node_42,node_43,node_44,node_45,node_46,node_47,node_48,node_49
-0.28619122170664457,0,0,-0.15347571683395403,0.22104546126731173,-0.36663478614660566,0.1730561119139853,0.005480294703790402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.26479553335927436,0,1,-0.1839009262255131,7.8052946744376825,0.34814048578957274,-9.79513812791672,1.1888000916116197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7139860505208696,0,2,1.3919029007514958,-2.428396720516626,0.2644511858240992,5.702333476638017,-0.9498324778028777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6321469643467817,0,3,0.4262760113711198,-0.8392045234488779,0.940711389703675,-0.18794703099971236,1.2560769175420128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.20354871918325965,0,4,0.7081191810509679,-0.8704780600761841,0.7795148387996845,1.0534781109148077,0.6952953698620541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.021029907492970377,0,5,-0.23132046089887429,0.2682196001411301,-0.16957452173860774,-0.17435382651312772,-0.3275404187484234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.2384357732547564,0,6,-0.7460173393287315,-1.4982315089735208,-0.6068666880619916,-0.019882625189050946,-0.8918684825566372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5386660846141673,0,7,1.4493679902616505,2.2204377257045196,2.009559003060231,-2.9079598820224577,2.898387088281365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.046280885766447344,0,8,0.06677660456658113,-0.3003330264470917,-0.17910236421366693,-0.17326481672585614,-0.32685855770064987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.26609645045972197,0,9,0.13741164649152013,-0.11535228282432292,-0.279363516831742,0.15071464270398474,-0.22400320419446892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0759712735940753,0,10,-0.3166071891361327,-0.07351779402007963,-0.13884866200784754,-0.0873163471102775,0.032183915379702194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.19641306152131732,0,11,0.02949581115928874,-0.36958520816114987,-0.49396060823393223,-0.19531853648816427,-0.14740278324759784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.49564951123587997,0,12,0.08279785688328992,0.10167361297708116,0.14696716262714485,-0.051389856014238844,-0.03572335246924574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.06530371210618546,0,13,-0.1222148038941115,-0.4199642501725507,0.1748869650290296,0.03090953865435104,-0.15289175326801271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.895762783166463,0,14,0.5712897954671295,-1.428289856529591,0.8782626235834224,0.32197282776127795,0.9257791828058103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5598546467445566,0,15,1.297269945296231,-2.6287848412534065,1.027990918699889,2.9527392027906876,0.05006350419972247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.056565995536654284,0,16,-0.15903644631484992,-0.25592079204911716,0.15244842909875025,-0.15105100467620594,-0.14659291398905375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.11507654142611604,0,17,-0.11395538076603612,0.059824604800238435,-0.3144139204310502,-0.3116396411407289,0.01865193370751094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.738546918010471,0,18,-0.2787792534151162,-7.875980196070049,-0.992017624387229,-2.8991302346789087,7.454518435928886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.31019483987534247,0,19,-0.2230569973019504,0.232378012118752,-0.06615338880286055,-0.036531810759957276,0.12740956154260347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0353596173129935,0,20,0.8372267180388582,-7.203915382665369,2.3274263864924873,6.216712405622562,-1.7820413241939972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9442842605939915,0,21,0.5982968805566419,0.5736473039669496,-0.9147764368551252,-2.0917660746375955,1.6829347306075195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0340980068761298,0,22,-0.1430551926545884,1.0083595473298217,0.29314929743373325,-1.7828327729115243,0.5384235521503258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.334442015060872,0,23,0.0352643622754054,0.456402350586593,-1.5526799709401802,-1.3842624797622949,-1.073795768299266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1.1075465868105145,0,24,-0.35856376096080994,-0.887727594350977,-0.5930372514818344,-0.25883103889010634,-0.545931368669626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.37234908671397854,0,25,0.26423609911536344,-0.4429305691677888,-0.09007745673064045,-0.21783015476034284,-0.27222647859980487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.0386208156379757,0,26,3.073258308215764,-8.643188461890398,1.4321810604873293,1.9956677914737448,5.882532440104909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.746463438822372,0,27,0.7013722704863773,-4.161443458359957,0.7448680484824524,-3.158149591937574,5.386701011345485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
