controlled_stations,type,profit,rc_11,rc_14,rc_15,rc_26,rc_37
11|14,base_case,6.530191534995553,0.6,0.6,0.5,0.6,0.5
11|14,max_prices,4.2920769248783746,0.8,0.8,0.5,0.6,0.5
11|14,sol_tr_predicted,18.613344567771303,0.7944352951870308,0.38202827198530137,0.5,0.6,0.5
11|14,sol_tr_real,18.869814753848242,0.7944352951870308,0.38202827198530137,0.5,0.6,0.5
11|14,sol_predicted,18.658479401827254,0.8,0.3818313029459418,0.5,0.6,0.5
11|14,sol_real,18.859538878305187,0.8,0.3818313029459418,0.5,0.6,0.5
