Tree_id,ID,rc_11,rc_14,rc_15,rc_26,rc_37,threshold,prediction,initial_prediction,learning_rate
0,1,0.0,0.0,0.0,1.0,0.0,0.5795000195503235,-2.623827150650282,27.58261558511105,0.01
0,2,0.0,0.0,0.0,-1.0,0.0,-0.5795010195503235,2.623827150650282,27.58261558511105,0.01
1,1,0.0,0.0,0.0,1.0,0.0,0.5795000195503235,-2.5975888791437782,27.58261558511105,0.01
1,2,0.0,0.0,0.0,-1.0,0.0,-0.5795010195503235,2.5975888791437782,27.58261558511105,0.01
2,1,0.0,0.0,0.0,0.0,1.0,0.3969999998807907,-2.571612990352339,27.58261558511105,0.01
2,2,0.0,0.0,0.0,0.0,-1.0,-0.3970009998807907,2.571612990352339,27.58261558511105,0.01
3,1,0.0,0.0,0.0,1.0,0.0,0.5795000195503235,-2.545896860448817,27.58261558511105,0.01
3,2,0.0,0.0,0.0,-1.0,0.0,-0.5795010195503235,2.545896860448817,27.58261558511105,0.01
4,1,1.0,0.0,0.0,0.0,0.0,0.5125000178813934,-2.5204378918443275,27.58261558511105,0.01
4,2,-1.0,0.0,0.0,0.0,0.0,-0.5125010178813935,2.5204378918443275,27.58261558511105,0.01
5,1,0.0,0.0,0.0,1.0,0.0,0.5795000195503235,-2.4952335129258856,27.58261558511105,0.01
5,2,0.0,0.0,0.0,-1.0,0.0,-0.5795010195503235,2.4952335129258856,27.58261558511105,0.01
6,1,0.0,0.0,0.0,0.0,1.0,0.3969999998807907,-2.4702811777966254,27.58261558511105,0.01
6,2,0.0,0.0,0.0,0.0,-1.0,-0.3970009998807907,2.4702811777966254,27.58261558511105,0.01
7,1,0.0,0.0,0.0,0.0,1.0,0.3969999998807907,-2.4455783660186583,27.58261558511105,0.01
7,2,0.0,0.0,0.0,0.0,-1.0,-0.3970009998807907,2.4455783660186583,27.58261558511105,0.01
8,1,0.0,1.0,0.0,0.0,0.0,0.6850000023841858,2.421122582358471,27.58261558511105,0.01
8,2,0.0,-1.0,0.0,0.0,0.0,-0.6850010023841858,-2.421122582358471,27.58261558511105,0.01
9,1,0.0,0.0,0.0,1.0,0.0,0.5795000195503235,-2.3969113565348863,27.58261558511105,0.01
9,2,0.0,0.0,0.0,-1.0,0.0,-0.5795010195503235,2.3969113565348863,27.58261558511105,0.01
10,1,0.0,1.0,0.0,0.0,0.0,0.6850000023841858,2.372942242969536,27.58261558511105,0.01
10,2,0.0,-1.0,0.0,0.0,0.0,-0.6850010023841858,-2.372942242969536,27.58261558511105,0.01
11,1,0.0,0.0,0.0,0.0,1.0,0.3969999998807907,-2.34921282053984,27.58261558511105,0.01
11,2,0.0,0.0,0.0,0.0,-1.0,-0.3970009998807907,2.34921282053984,27.58261558511105,0.01
12,1,0.0,0.0,1.0,0.0,0.0,0.5694999992847443,2.3257206923344427,27.58261558511105,0.01
12,2,0.0,0.0,-1.0,0.0,0.0,-0.5695009992847443,-2.3257206923344427,27.58261558511105,0.01
13,1,0.0,1.0,0.0,0.0,0.0,0.6850000023841858,2.3024634854110992,27.58261558511105,0.01
13,2,0.0,-1.0,0.0,0.0,0.0,-0.6850010023841858,-2.3024634854110992,27.58261558511105,0.01
14,1,0.0,0.0,1.0,0.0,0.0,0.5694999992847443,2.279438850556989,27.58261558511105,0.01
14,2,0.0,0.0,-1.0,0.0,0.0,-0.5695009992847443,-2.279438850556989,27.58261558511105,0.01
15,1,0.0,0.0,1.0,0.0,0.0,0.5694999992847443,2.256644462051419,27.58261558511105,0.01
15,2,0.0,0.0,-1.0,0.0,0.0,-0.5695009992847443,-2.256644462051419,27.58261558511105,0.01
16,1,0.0,1.0,0.0,0.0,0.0,0.6850000023841858,2.234078017430903,27.58261558511105,0.01
16,2,0.0,-1.0,0.0,0.0,0.0,-0.6850010023841858,-2.234078017430903,27.58261558511105,0.01
17,1,0.0,0.0,0.0,0.0,1.0,0.3969999998807907,-2.2117372372565924,27.58261558511105,0.01
17,2,0.0,0.0,0.0,0.0,-1.0,-0.3970009998807907,2.2117372372565924,27.58261558511105,0.01
18,1,0.0,0.0,1.0,0.0,0.0,0.5694999992847443,2.189619864884026,27.58261558511105,0.01
18,2,0.0,0.0,-1.0,0.0,0.0,-0.5695009992847443,-2.189619864884026,27.58261558511105,0.01
19,1,0.0,0.0,0.0,1.0,0.0,0.5795000195503235,-2.1677236662351866,27.58261558511105,0.01
19,2,0.0,0.0,0.0,-1.0,0.0,-0.5795010195503235,2.1677236662351866,27.58261558511105,0.01
