Tree_id,ID,rc_11,rc_14,rc_15,rc_26,rc_37,threshold,prediction
0,1,1.0,0.0,0.0,0.0,0.0,0.3075000047683716,3.125893362005292
0,1,0.0,1.0,0.0,0.0,0.0,0.3735000044107437,3.125893362005292
0,1,0.0,0.0,1.0,0.0,0.0,0.40950000286102295,3.125893362005292
0,1,0.0,0.0,0.0,1.0,0.0,0.4610000103712082,3.125893362005292
0,2,1.0,0.0,0.0,0.0,0.0,0.3075000047683716,8.358981058292837
0,2,0.0,1.0,0.0,0.0,0.0,0.3735000044107437,8.358981058292837
0,2,0.0,0.0,1.0,0.0,0.0,0.40950000286102295,8.358981058292837
0,2,0.0,0.0,0.0,-1.0,0.0,-0.46100101037120816,8.358981058292837
0,3,1.0,0.0,0.0,0.0,0.0,0.3075000047683716,13.432799574989287
0,3,0.0,1.0,0.0,0.0,0.0,0.3735000044107437,13.432799574989287
0,3,0.0,0.0,-1.0,0.0,0.0,-0.4095010028610229,13.432799574989287
0,3,0.0,0.0,1.0,0.0,0.0,0.4425000101327896,13.432799574989287
0,4,1.0,0.0,0.0,0.0,0.0,0.3075000047683716,9.013814883193994
0,4,0.0,1.0,0.0,0.0,0.0,0.3735000044107437,9.013814883193994
0,4,0.0,0.0,-1.0,0.0,0.0,-0.4095010028610229,9.013814883193994
0,4,0.0,0.0,-1.0,0.0,0.0,-0.4425010101327896,9.013814883193994
0,5,1.0,0.0,0.0,0.0,0.0,0.3075000047683716,1.6682674975898286
0,5,0.0,-1.0,0.0,0.0,0.0,-0.3735010044107437,1.6682674975898286
0,5,0.0,0.0,0.0,0.0,1.0,0.7945000231266022,1.6682674975898286
0,5,0.0,0.0,0.0,0.0,1.0,0.5530000030994415,1.6682674975898286
0,6,1.0,0.0,0.0,0.0,0.0,0.3075000047683716,3.6209999621418527
0,6,0.0,-1.0,0.0,0.0,0.0,-0.3735010044107437,3.6209999621418527
0,6,0.0,0.0,0.0,0.0,1.0,0.7945000231266022,3.6209999621418527
0,6,0.0,0.0,0.0,0.0,-1.0,-0.5530010030994416,3.6209999621418527
0,7,1.0,0.0,0.0,0.0,0.0,0.3075000047683716,9.330209010984865
0,7,0.0,-1.0,0.0,0.0,0.0,-0.3735010044107437,9.330209010984865
0,7,0.0,0.0,0.0,0.0,-1.0,-0.7945010231266022,9.330209010984865
0,7,0.0,1.0,0.0,0.0,0.0,0.591499999165535,9.330209010984865
0,8,1.0,0.0,0.0,0.0,0.0,0.3075000047683716,13.244184167728559
